year,OCC_TITLE,A_Afford_Weighted,H_Afford_Weighted
2022,Medical and public health social workers,0.7397658867776133,0.739773408972401
2022,Mental health and substance abuse social workers,0.9291814197229817,0.9291818760733226
2022,Occupational therapists,0.49091033076689916,0.49091875468134266
2022,Optometrists,0.39036874562460083,0.3903578480732181
2022,"Pediatricians, general",0.2155705585194278,0.2155553373269174
2022,Pharmacists,0.32801925400189724,0.32802314868522364
2022,Physical therapists,0.4610011523924753,0.4610046372627925
2022,Podiatrists,0.2969406901361906,0.2969220974992994
2022,Rehabilitation counselors,1.1193386690743115,1.11932934746487
2022,Speech-language pathologists,0.5355845842531611,0.5355846880392447
2022,Veterinarians,0.4331160964588687,0.43311819306378835
2023,"Architects, except landscape and naval",0.5526476689762481,0.5526722313397393
2023,Audiologists,0.5551791460281665,0.5551836473565118
2023,"Child, family, and school social workers",0.9070675752789229,0.9070503256932474
2023,Chiropractors,0.625801998302719,0.6258320630005503
2023,"Dentists, general",0.3193083858874298,0.31930638573434406
2023,Dietitians and nutritionists,0.6878833238350066,0.6878889669441403
2023,"Educational, vocational, and school counselors",0.7734712916139028,0.7734545908386166
2023,Landscape architects,0.7046449931038161,0.7046728544304066
2023,Lawyers,0.3754240613414105,0.3754286308315646
2023,Marriage and family therapists,0.8582753678578685,0.8582127925675476
2023,Medical and public health social workers,0.7425277210456476,0.7425462156040633
2023,Mental health and substance abuse social workers,0.925749985830696,0.9257885136294249
2023,Occupational therapists,0.4996981838387691,0.4996964620796799
2023,Optometrists,0.3876244691235451,0.38764805951693654
2023,"Pediatricians, general",0.29402985074626864,0.2940111240460484
2023,Pharmacists,0.3372790826147313,0.3372870931213539
2023,Physical therapists,0.4734197376645742,0.4734340141025163
2023,Podiatrists,0.3187603500777092,0.31878565263456193
2023,Rehabilitation counselors,1.1089875655923211,1.1090273191884155
2023,Speech-language pathologists,0.5373579433164758,0.537369688879694
2023,Veterinarians,0.41947285055571,0.4194767483883188
2024,"Architects, except landscape and naval",0.546285715299514,0.5462682213904322
2024,Audiologists,0.5585737469675907,0.5584905763580946
2024,"Child, family, and school social workers",0.8866929671828135,0.8866799897960957
2024,Chiropractors,0.6018312540704918,0.6017595838781674
2024,"Dentists, general",0.33801513463821575,0.3380116435080956
2024,Dietitians and nutritionists,0.6847210956493279,0.684699287415257
2024,"Educational, vocational, and school counselors",0.754999403014565,0.7549688856626539
2024,Landscape architects,0.6704861516199796,0.670469552165342
2024,Lawyers,0.38727110270994286,0.3872648750126977
2024,Marriage and family therapists,0.9066888012741803,0.9067122734040912
2024,Medical and public health social workers,0.7199024929914546,0.71990392006004
2024,Mental health and substance abuse social workers,0.8942723892844141,0.8942350882010304
2024,Occupational therapists,0.5045071177423863,0.5044989936217517
2024,Optometrists,0.37996269461363935,0.3799442201838447
2024,"Pediatricians, general",0.22990849177374237,0.22988165680473371
2024,Pharmacists,0.3452603848947398,0.34525838707635365
2024,Physical therapists,0.4816764726276683,0.4816653687981853
2024,Podiatrists,0.31556159564230024,0.3155507774006551
2024,Rehabilitation counselors,1.085002646885799,1.0849539027477453
2024,Speech-language pathologists,0.5349448313453979,0.5349284867384944
2024,Veterinarians,0.4039629284171178,0.40395155543231803
